[0, 45.9665, 0, 0, 55.4312, 0, 65.7393, 93.373, 0, 67.6975, 75.9729, 0, 16.5837, 0, 0, 0, 44.036, 63.5796, 0, 77.6277]
[45.9665, 0, 3.2188, 39.6608, 25.8086, 0, 51.5397, 6.6733, 85.1677, 32.8106, 33.9801, 0, 0, 0, 0, 0, 39.406, 0, 0, 93.7463]
[0, 3.2188, 0, 86.74, 0, 0, 47.8822, 48.3088, 44.8706, 85.0583, 0, 7.838, 12.6499, 0, 50.5189, 0, 0, 0, 37.3704, 0]
[0, 39.6608, 86.74, 0, 82.0558, 38.4409, 0, 3.139, 0, 96.6542, 58.5388, 0, 0, 0, 0, 0, 0.2607, 0, 0, 0]
[55.4312, 25.8086, 0, 82.0558, 0, 35.0928, 0, 80.9708, 35.3291, 71.9294, 38.8168, 15.759, 0, 0, 0, 80.1675, 0, 0, 85.3811, 68.2306]
[0, 0, 0, 38.4409, 35.0928, 0, 62.8014, 15.9189, 0, 82.441, 1.5127, 0, 33.5384, 0, 66.6759, 84.9769, 0, 0, 0, 77.2317]
[65.7393, 51.5397, 47.8822, 0, 0, 62.8014, 0, 0, 42.855, 44.6486, 0, 0, 0, 0, 37.4938, 31.8671, 6.3734, 0, 0, 0]
[93.373, 6.6733, 48.3088, 3.139, 80.9708, 15.9189, 0, 0, 0, 19.1091, 38.3169, 69.7755, 32.4311, 6.278, 0, 0, 42.2345, 58.5807, 46.5465, 85.5594]
[0, 85.1677, 44.8706, 0, 35.3291, 0, 42.855, 0, 0, 0, 3.2198, 50.399, 0, 0, 0, 10.0573, 41.0933, 48.0496, 33.5355, 0]
[67.6975, 32.8106, 85.0583, 96.6542, 71.9294, 82.441, 44.6486, 19.1091, 0, 0, 0, 0, 4.4538, 0, 0, 27.7303, 54.5768, 0, 0, 10.5144]
[75.9729, 33.9801, 0, 58.5388, 38.8168, 1.5127, 0, 38.3169, 3.2198, 0, 0, 81.0193, 0, 99.2623, 0, 0, 14.9321, 89.5867, 45.7507, 77.7599]
[0, 0, 7.838, 0, 15.759, 0, 0, 69.7755, 50.399, 0, 81.0193, 0, 79.1872, 75.1946, 93.7554, 17.7632, 0, 50.8527, 0, 99.3249]
[16.5837, 0, 12.6499, 0, 0, 33.5384, 0, 32.4311, 0, 4.4538, 0, 79.1872, 0, 0, 0, 95.1141, 0, 0, 0, 21.9937]
[0, 0, 0, 0, 0, 0, 0, 6.278, 0, 0, 99.2623, 75.1946, 0, 0, 83.4456, 0, 0, 0, 89.1889, 87.6806]
[0, 0, 50.5189, 0, 0, 66.6759, 37.4938, 0, 0, 0, 0, 93.7554, 0, 83.4456, 0, 29.2309, 53.0652, 14.895, 76.9504, 43.6217]
[0, 0, 0, 0, 80.1675, 84.9769, 31.8671, 0, 10.0573, 27.7303, 0, 17.7632, 95.1141, 0, 29.2309, 0, 62.2476, 0, 28.774, 0]
[44.036, 39.406, 0, 0.2607, 0, 0, 6.3734, 42.2345, 41.0933, 54.5768, 14.9321, 0, 0, 0, 53.0652, 62.2476, 0, 0, 10.3011, 0]
[63.5796, 0, 0, 0, 0, 0, 0, 58.5807, 48.0496, 0, 89.5867, 50.8527, 0, 0, 14.895, 0, 0, 0, 3.94, 0]
[0, 0, 37.3704, 0, 85.3811, 0, 0, 46.5465, 33.5355, 0, 45.7507, 0, 0, 89.1889, 76.9504, 28.774, 10.3011, 3.94, 0, 0]
[77.6277, 93.7463, 0, 0, 68.2306, 77.2317, 0, 85.5594, 0, 10.5144, 77.7599, 99.3249, 21.9937, 87.6806, 43.6217, 0, 0, 0, 0, 0]
