[0, 0, 0, 30.8702, 77.587, 34.9657, 43.6285, 19.74, 0, 0, 16.8203, 72.4333, 0, 82.2325, 3.2623, 0, 0, 33.6415, 0, 0, 36.9359, 63.2192, 96.0758, 65.4827, 41.7703]
[0, 0, 0, 93.1027, 44.3215, 33.4543, 18.2431, 0, 0, 46.3307, 0, 59.2761, 2.7179, 0, 0, 0, 0, 0, 56.2039, 41.9454, 0, 28.0982, 47.1369, 35.8357, 20.6051]
[0, 0, 0, 0, 0, 0, 0, 26.0203, 25.0982, 96.4141, 78.1383, 38.6317, 13.499, 22.0685, 17.8607, 0, 0, 5.6753, 45.674, 52.2879, 15.0545, 0, 0, 0, 1.8643]
[30.8702, 93.1027, 0, 0, 0, 0, 0, 0, 98.9035, 4.8489, 0, 0, 0, 0, 27.4376, 0, 0, 89.5347, 3.0186, 0, 89.869, 0, 0, 0, 84.1783]
[77.587, 44.3215, 0, 0, 0, 13.6842, 0, 0, 0, 0, 2.6805, 0, 20.9605, 0, 90.1983, 60.0911, 0, 52.8955, 0, 0, 29.6413, 7.6263, 19.4421, 6.9935, 0]
[34.9657, 33.4543, 0, 0, 13.6842, 0, 22.1729, 0, 0, 20.5967, 70.6143, 3.3401, 0, 9.1056, 0, 21.9403, 0, 0, 21.6684, 0, 8.2287, 95.4472, 72.6282, 45.957, 64.0586]
[43.6285, 18.2431, 0, 0, 0, 22.1729, 0, 0, 51.6327, 70.9084, 0, 70.6234, 44.6898, 77.7342, 0, 30.8181, 0, 83.2467, 46.6984, 0, 64.7134, 73.6639, 0, 0, 64.0749]
[19.74, 0, 26.0203, 0, 0, 0, 0, 0, 0, 0, 0, 63.1905, 0, 0, 0, 0, 66.1978, 0, 11.681, 80.197, 65.4327, 68.101, 0, 0, 28.2753]
[0, 0, 25.0982, 98.9035, 0, 0, 51.6327, 0, 0, 70.0995, 50.3519, 0, 0, 93.3355, 0, 0, 77.1938, 0, 41.6265, 0, 77.0665, 45.5804, 0, 0, 53.0273]
[0, 46.3307, 96.4141, 4.8489, 0, 20.5967, 70.9084, 0, 70.0995, 0, 41.5461, 66.6187, 0, 69.0581, 7.7663, 63.0472, 0, 0, 61.1709, 0, 0, 0, 71.2985, 0, 46.1684]
[16.8203, 0, 78.1383, 0, 2.6805, 70.6143, 0, 0, 50.3519, 41.5461, 0, 0, 23.3639, 99.8365, 0, 6.1625, 0, 0, 0, 25.8095, 0, 86.3687, 42.5464, 0, 56.9714]
