[0, 0, 0, 57.3863, 0, 0, 51.6776, 46.45, 89.1398, 0, 1.6606, 44.9841, 0, 0, 0]
[0, 0, 96.3512, 0, 75.4642, 90.559, 85.0087, 0, 0, 26.4129, 0, 18.8971, 14.5739, 29.6701, 77.0536]
[0, 96.3512, 0, 10.7195, 83.9161, 38.7261, 0, 0, 58.2399, 41.0904, 16.6233, 1.7604, 0, 0, 0]
[57.3863, 0, 10.7195, 0, 25.8312, 0, 0, 0, 37.1965, 0, 0, 0, 30.5173, 0, 13.179]
[0, 75.4642, 83.9161, 25.8312, 0, 0, 0, 38.6542, 0, 0, 0, 57.7195, 36.0061, 34.5807, 1.8568]
[0, 90.559, 38.7261, 0, 0, 0, 0, 0, 0, 52.804, 0, 44.1533, 22.168, 18.6112, 0]
[51.6776, 85.0087, 0, 0, 0, 0, 0, 0, 96.8515, 51.2045, 11.0087, 0, 43.6181, 0, 0]
[46.45, 0, 0, 0, 38.6542, 0, 0, 0, 20.4538, 0, 28.6055, 8.3385, 0, 92.13, 0]
[89.1398, 0, 58.2399, 37.1965, 0, 0, 96.8515, 20.4538, 0, 0, 52.1242, 91.8198, 0, 63.9324, 1.9125]
[0, 26.4129, 41.0904, 0, 0, 52.804, 51.2045, 0, 0, 0, 0, 0, 0, 27.5308, 0]
[1.6606, 0, 16.6233, 0, 0, 0, 11.0087, 28.6055, 52.1242, 0, 0, 92.1327, 32.2277, 32.8182, 71.9762]
[44.9841, 18.8971, 1.7604, 0, 57.7195, 44.1533, 0, 8.3385, 91.8198, 0, 92.1327, 0, 27.3861, 0, 0]
[0, 14.5739, 0, 30.5173, 36.0061, 22.168, 43.6181, 0, 0, 0, 32.2277, 27.3861, 0, 54.8174, 96.5412]
[0, 29.6701, 0, 0, 34.5807, 18.6112, 0, 92.13, 63.9324, 27.5308, 32.8182, 0, 54.8174, 0, 79.9035]
[0, 77.0536, 0, 13.179, 1.8568, 0, 0, 0, 1.9125, 0, 71.9762, 0, 96.5412, 79.9035, 0]
