[0, 50.8686, 0, 77.6043, 0, 0, 93.8647, 0, 40.7913, 0, 0, 99.6712, 0, 0, 22.2464, 0, 79.0484, 69.3197, 0, 0, 95.9318, 0, 0, 50.4307, 35.5561, 74.2568, 49.0808, 48.9605, 84.1128, 0, 51.814, 0, 53.0746, 35.3128, 0, 62.421, 5.3493, 0, 51.2636, 0.3583, 65.59, 97.0596, 4.5222, 97.1788, 0, 0, 40.5283, 0, 1.2216, 83.1014]
[50.8686, 0, 0, 0, 0, 0, 0, 74.512, 0, 38.8802, 40.4166, 3.2697, 99.8424, 0, 94.9655, 19.2221, 66.5192, 77.665, 57.5241, 0, 0, 5.4065, 38.9021, 45.655, 6.2156, 7.7753, 9.2954, 36.3015, 91.7721, 0, 58.7116, 0, 0, 0, 0, 0, 36.3144, 74.984, 33.8521, 32.6017, 0, 0, 10.6034, 0, 0, 9.1624, 26.7626, 80.5606, 60.6329, 0]
[0, 0, 0, 42.5677, 65.2607, 7.2615, 0, 64.9121, 36.1629, 69.7103, 81.761, 25.8795, 0, 0, 37.1008, 91.354, 3.9085, 94.8903, 30.2948, 34.1149, 0, 15.0675, 58.9405, 50.1055, 66.0929, 0, 67.7726, 57.2744, 67.5772, 0, 76.4852, 75.8843, 0, 0, 14.7082, 31.8325, 71.0763, 6.3716, 62.7905, 0, 97.8423, 94.277, 0, 62.166, 76.8448, 0, 50.5774, 0, 3.7485, 0]
[77.6043, 0, 42.5677, 0, 90.0128, 79.4813, 30.2143, 0, 0, 0, 0, 0, 0, 6.1788, 0, 0, 0, 0, 78.8502, 31.69, 65.9422, 45.9896, 0, 52.6024, 0, 65.0109, 54.9287, 0, 3.8077, 84.8776, 82.6778, 76.7088, 0, 0, 0, 53.4327, 95.7276, 56.9641, 4.7957, 0, 0, 0, 59.3316, 47.375, 80.883, 5.3482, 0, 84.973, 0, 49.4756]
[0, 0, 65.2607, 90.0128, 0, 0, 69.2295, 0, 0, 0, 54.2404, 86.3281, 0, 38.9295, 0, 31.8444, 0, 38.1911, 12.6462, 2.1518, 82.9646, 31.8261, 77.4537, 35.5718, 0, 18.3228, 61.2052, 81.4627, 0, 63.542, 27.5343, 0, 0, 0, 12.5508, 0, 90.7552, 0, 49.4419, 0, 0, 12.9837, 92.0623, 0, 0, 0, 23.6594, 0, 29.0981, 0]
[0, 0, 7.2615, 79.4813, 0, 0, 0, 49.4473, 47.7343, 66.078, 0, 0, 0, 97.6187, 54.0384, 0, 0, 0, 0, 0, 48.8885, 81.3498, 0, 0, 0, 0, 0, 85.3003, 14.2453, 0, 3.3526, 0, 0, 47.1179, 3.3779, 0, 0, 7.8695, 85.2111, 27.1939, 57.7387, 0, 66.8859, 0, 27.9455, 0, 0, 4.1473, 80.2585, 0]
[93.8647, 0, 0, 30.2143, 69.2295, 0, 0, 0, 0, 83.834, 68.7247, 0, 48.7359, 0, 82.3442, 25.6166, 15.5581, 0, 0, 0, 70.8285, 17.0965, 44.8013, 56.5948, 45.4096, 0, 0, 0.2187, 74.849, 0, 0, 0, 70.1262, 99.3614, 86.0169, 10.5942, 93.0017, 15.5507, 0, 38.7498, 19.8928, 0, 0, 62.8705, 0, 0, 0, 0, 3.7143, 0]
[0, 74.512, 64.9121, 0, 0, 49.4473, 0, 0, 79.2401, 0, 0, 0, 0, 0, 0, 81.2249, 0, 0, 0, 0, 0, 92.1571, 11.8026, 0, 11.2191, 29.8129, 0, 67.9313, 0, 0, 0, 0, 0, 28.6498, 73.4032, 65.5889, 56.5337, 0, 0, 0, 0, 2.5618, 65.2481, 78.2327, 78.1853, 0, 16.828, 1.585, 10.8422, 0]
[40.7913, 0, 36.1629, 0, 0, 47.7343, 0, 79.2401, 0, 0, 0, 0, 12.4752, 0, 43.9501, 42.8091, 58.0944, 91.5105, 73.2919, 93.5976, 64.7587, 0, 4.2281, 0, 0, 4.1644, 77.0032, 85.886, 0, 40.4296, 0, 0, 0, 0, 59.202, 32.2366, 0, 41.1527, 79.7641, 0, 84.8583, 0, 24.629, 83.0092, 36.7897, 13.8617, 74.0694, 0, 34.2712, 94.9655]
[0, 38.8802, 69.7103, 0, 0, 66.078, 83.834, 0, 0, 0, 27.861, 0, 2.2264, 71.7433, 88.3934, 66.883, 18.5231, 0, 66.2462, 0, 9.4972, 0, 61.334, 0, 0, 0, 99.8245, 97.5696, 0, 0, 74.3673, 0, 0, 0, 95.7343, 96.9881, 26.4019, 40.3422, 0, 57.6218, 50.2469, 0, 0, 63.0781, 87.2536, 0, 97.574, 65.8628, 0, 0]
